s_winsize_sum,s_winsize_std,s_winsize_mean,s_winsize_med,s_bytes_sum,d_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,s_bytes_std,s_bytes_mean,d_winsize_min,d_ttl_sum,d_bytes_sum,d_bytes_std,d_bytes_mean,s_bytes_max,s_winsize_min,d_winsize_max,d_iat_max,s_iat_sum,dur,s_iat_max,d_iat_sum,s_iat_std,s_iat_mean,s_load,d_load,d_ttl_min,d_ttl_mean,d_ttl_med,d_ttl_max,d_iat_mean,s_winsize_max,d_bytes_max,syn_ack,s_port,d_iat_med,tcp_rtt,ack_cnt,s_ttl_sum,d_bytes_med,s_iat_med,d_iat_std,d_iat_min,s_pkt_cnt,d_port,d_pkt_cnt,psh_cnt,s_bytes_med,ack_dat,s_iat_min,s_ttl_min,s_ttl_max,s_ttl_med,s_ttl_mean,d_bytes_min,s_bytes_min,fin_cnt,d_ttl_std,rst_cnt,syn_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,false,false,false,true,false,true,true,false,true,true,true,true,false,false,true,true,false,false,true,true,true,false,false,true,true,true,false,false,false,true,true,false,true,false,false,true,true,false,true,false,true,false,false,false,true,2,-0.86668526525126,270.0,40639
true,true,true,true,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,false,false,false,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,2,-0.9056322292207017,240.0,81192
true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,true,false,true,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,true,false,false,3,-0.9303479911333501,360.0,122090
true,true,true,true,false,true,true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,false,true,false,true,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,1,-0.7938337917211957,130.0,162340
true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,false,true,false,true,false,false,true,true,true,true,true,false,true,false,false,false,true,true,true,true,false,true,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,2,-0.9031838806161476,270.0,202860
false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,true,true,true,false,true,false,true,true,false,false,false,true,false,false,true,true,false,true,true,false,false,false,true,false,false,true,true,true,false,2,-0.8342722307632982,230.0,246585
false,false,false,false,true,false,true,false,true,true,false,true,false,false,false,true,false,true,true,true,false,false,false,false,true,false,true,true,false,true,false,true,true,true,false,false,false,false,true,true,false,true,false,false,true,false,true,false,false,false,false,false,true,true,false,true,true,false,true,false,false,false,true,1,-0.7938337917211957,100.0,286517
false,false,false,true,false,false,false,false,false,true,true,false,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,false,false,true,true,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,true,false,true,true,false,false,false,false,true,1,-0.7938337917211957,130.0,330613
false,false,true,true,false,false,false,false,true,false,true,true,false,false,false,false,true,true,true,false,false,false,true,false,true,false,true,false,false,true,true,true,true,false,true,true,false,false,true,true,false,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,false,false,false,false,1,-0.7938337917211957,110.0,374317
true,false,true,false,false,true,false,false,true,false,true,true,true,false,true,true,true,false,false,true,true,false,false,true,false,true,false,false,true,false,true,true,true,true,true,false,false,false,false,true,false,false,false,true,true,true,true,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,false,2,-0.9029362552050684,200.0,418647
false,false,false,true,false,true,true,false,true,true,false,false,true,true,false,true,true,true,true,false,true,true,false,false,false,false,false,false,false,true,false,true,true,true,false,false,true,true,true,false,true,true,true,true,true,true,true,false,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,1,-0.8765364650027906,120.0,463172
false,false,false,false,true,false,true,false,true,false,false,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,false,false,false,true,true,true,true,false,true,true,false,true,true,true,true,false,false,false,true,true,true,false,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,3,-0.9708295080243659,330.0,508401
false,false,false,false,true,true,false,false,true,false,false,false,false,true,true,true,true,false,true,true,false,true,false,false,false,false,true,false,false,false,false,false,true,false,true,true,true,false,true,true,true,false,false,true,true,false,true,false,true,true,true,false,true,true,true,true,false,true,false,false,false,true,true,3,-0.9419925519409414,310.0,553413
false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,true,false,true,false,false,true,false,false,true,false,false,false,false,true,true,true,true,false,true,false,true,true,false,true,false,false,true,true,true,true,true,false,false,false,true,false,true,true,true,false,true,false,true,false,true,false,false,3,-0.8794621120361061,340.0,598422
false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,true,true,false,true,true,false,false,false,false,true,true,false,true,false,true,true,false,true,true,true,true,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,true,true,1,-0.7611686122563712,120.0,643637
true,true,true,false,false,true,false,false,true,true,false,false,true,true,false,false,true,false,false,true,false,true,false,false,true,true,false,false,true,true,true,true,false,false,true,true,false,false,false,true,true,true,false,false,true,false,true,true,false,false,true,false,true,false,true,true,false,false,false,true,false,true,true,3,-0.8862420107448487,410.0,689315
false,true,false,false,false,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,false,true,false,true,false,false,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,3,-0.9675313839464206,380.0,735517
false,true,false,false,false,false,true,false,true,true,false,true,true,false,true,true,false,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,false,true,true,true,false,false,true,true,false,false,false,true,false,false,true,true,true,false,true,true,2,-0.8780976845824809,340.0,781705
false,false,true,false,false,false,false,false,true,true,false,true,true,true,true,true,true,true,false,true,false,false,false,false,true,true,false,true,false,true,false,true,true,false,true,true,false,true,true,true,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,true,true,true,false,false,true,true,2,-0.9031838806161476,230.0,827647
true,false,true,false,true,true,false,false,true,true,false,true,true,false,false,false,true,true,true,true,false,false,false,true,true,false,true,false,false,true,true,false,false,true,false,true,false,false,true,true,false,true,true,true,false,false,true,false,false,true,true,false,false,false,true,false,false,true,false,false,false,true,false,1,-0.8035214759178313,130.0,873070
false,true,false,true,true,true,false,false,true,false,false,true,true,false,true,true,true,true,true,false,true,false,false,false,false,true,true,false,false,true,true,false,false,false,false,false,false,true,false,true,true,false,true,false,false,false,false,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,1,-0.6393248139250974,130.0,918373
false,true,false,false,false,true,false,false,false,true,false,false,false,true,true,true,true,false,true,true,true,true,false,true,false,false,false,false,true,true,false,false,true,true,false,false,false,true,true,false,true,true,true,false,false,true,false,true,false,false,false,true,true,true,false,true,true,true,true,true,true,false,false,3,-0.8947657235254334,380.0,964255
true,false,true,false,true,true,true,false,true,true,true,false,false,true,false,false,false,true,false,false,false,false,true,false,true,true,false,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,true,false,true,false,true,false,false,true,false,true,true,true,false,true,true,true,false,true,false,true,1,-0.6393248139250974,120.0,1009473
true,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,false,true,false,true,false,true,false,false,true,true,true,false,true,false,false,false,true,true,true,true,true,false,false,false,true,true,true,true,true,false,true,false,true,false,3,-0.8930788137359333,400.0,1056134
true,false,false,false,false,true,true,false,true,false,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,true,true,true,false,true,true,false,false,true,true,true,false,false,false,true,false,true,true,false,2,-0.9031838806161476,230.0,1101354
false,false,true,true,false,true,false,false,false,true,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,true,true,true,false,false,false,true,true,true,true,true,false,true,true,false,true,false,true,true,true,false,true,true,false,false,true,false,false,false,false,true,true,false,false,false,true,true,true,2,-0.8770997800026924,230.0,1146886
false,true,true,true,false,false,true,false,true,true,false,true,true,false,true,false,true,true,false,true,true,true,false,true,false,true,false,false,false,true,false,true,false,false,true,true,false,false,false,false,true,true,false,true,false,false,false,true,false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,3,-0.9299914582335872,300.0,1192538
